
2024/11/23 (19:35:13) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (19:35:13) | INFO: Running on /dev/pts/3
2024/11/23 (19:35:13) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (19:35:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (19:35:13) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (19:35:13) | DEBUG: Shared::init() : Initialized.
2024/11/23 (19:35:13) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (19:38:31) | ===> btop++ v.1.4.0
2024/11/23 (19:38:31) | INFO: Logger set to DEBUG
2024/11/23 (19:38:31) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (19:38:31) | INFO: Running on /dev/pts/3
2024/11/23 (19:38:31) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (19:38:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (19:38:31) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (19:38:31) | DEBUG: Shared::init() : Initialized.
2024/11/23 (19:38:31) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (20:23:46) | ===> btop++ v.1.4.0
2024/11/23 (20:23:46) | INFO: Logger set to DEBUG
2024/11/23 (20:23:46) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (20:23:46) | INFO: Running on /dev/pts/1
2024/11/23 (20:23:46) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (20:23:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (20:23:46) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (20:23:46) | DEBUG: Shared::init() : Initialized.
2024/11/23 (20:23:46) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/23 (20:24:49) | ===> btop++ v.1.4.0
2024/11/23 (20:24:49) | INFO: Logger set to DEBUG
2024/11/23 (20:24:49) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (20:24:49) | INFO: Running on /dev/pts/1
2024/11/23 (20:24:49) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (20:24:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (20:24:49) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (20:24:49) | DEBUG: Shared::init() : Initialized.
2024/11/23 (20:24:49) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/24 (11:00:48) | ===> btop++ v.1.4.0
2024/11/24 (11:00:48) | INFO: Logger set to DEBUG
2024/11/24 (11:00:48) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (11:00:48) | INFO: Running on /dev/pts/2
2024/11/24 (11:00:48) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/24 (11:00:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/24 (11:00:48) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/24 (11:00:48) | DEBUG: Shared::init() : Initialized.
2024/11/24 (11:00:48) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/24 (11:10:33) | ===> btop++ v.1.4.0
2024/11/24 (11:10:33) | INFO: Logger set to DEBUG
2024/11/24 (11:10:33) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (11:10:33) | INFO: Running on /dev/pts/1
2024/11/24 (11:10:33) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/24 (11:10:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/24 (11:10:33) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/24 (11:10:33) | DEBUG: Shared::init() : Initialized.
2024/11/24 (11:10:33) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/24 (11:27:44) | ===> btop++ v.1.4.0
2024/11/24 (11:27:44) | INFO: Logger set to DEBUG
2024/11/24 (11:27:44) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (11:27:44) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/11/24 (11:27:44) | INFO: Quitting! Runtime: 00:00:00

2024/11/24 (11:27:50) | ===> btop++ v.1.4.0
2024/11/24 (11:27:50) | INFO: Logger set to DEBUG
2024/11/24 (11:27:50) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (11:27:50) | INFO: Running on /dev/pts/0
2024/11/24 (11:27:55) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/24 (11:27:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/24 (11:27:55) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/24 (11:27:55) | DEBUG: Shared::init() : Initialized.
2024/11/24 (11:27:55) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/24 (12:22:41) | ===> btop++ v.1.4.0
2024/11/24 (12:22:41) | INFO: Logger set to DEBUG
2024/11/24 (12:22:41) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (12:22:41) | INFO: Running on /dev/pts/2
2024/11/24 (12:22:46) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/24 (12:22:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/24 (12:22:46) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/24 (12:22:46) | DEBUG: Shared::init() : Initialized.
2024/11/24 (12:22:46) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme

2024/11/24 (13:53:59) | ===> btop++ v.1.4.0
2024/11/24 (13:53:59) | INFO: Logger set to DEBUG
2024/11/24 (13:53:59) | DEBUG: Using locale es_MX.UTF-8
2024/11/24 (13:53:59) | INFO: Running on /dev/pts/4
2024/11/24 (13:54:04) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/24 (13:54:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/24 (13:54:04) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/24 (13:54:04) | DEBUG: Shared::init() : Initialized.
2024/11/24 (13:54:04) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_macchiato.theme
